"Package" "Built"
"1" "abind" "3.4.1"
"2" "acepack" "3.5.2"
"3" "actuar" "3.4.4"
"4" "AER" "3.4.4"
"5" "akima" "3.4.4"
"6" "ape" "3.5.1"
"7" "arsenal" "3.5.3"
"8" "askpass" "3.6.2"
"9" "assertthat" "3.6.2"
"10" "AUC" "3.4.1"
"11" "backports" "3.6.1"
"12" "base64enc" "3.6.0"
"13" "bayesplot" "3.4.4"
"14" "BB" "3.4.4"
"15" "bbmle" "3.4.4"
"16" "bdsmatrix" "3.4.3"
"17" "betareg" "3.4.4"
"18" "BH" "3.6.2"
"19" "biglm" "3.4.4"
"20" "bindr" "3.4.4"
"21" "bindrcpp" "3.5.1"
"22" "binGroup" "3.4.4"
"23" "bit" "3.4.1"
"24" "bit64" "3.4.1"
"25" "bitops" "3.5.0"
"26" "blob" "3.4.4"
"27" "brew" "3.5.2"
"28" "bridgesampling" "3.4.4"
"29" "brms" "3.4.4"
"30" "Brobdingnag" "3.4.4"
"31" "broom" "3.6.2"
"32" "btergm" "3.4.4"
"33" "callr" "3.6.2"
"34" "car" "3.4.4"
"35" "carData" "3.4.4"
"36" "caTools" "3.4.4"
"37" "cellranger" "3.6.2"
"38" "checkmate" "3.5.2"
"39" "chron" "3.4.4"
"40" "classInt" "3.5.3"
"41" "cli" "3.5.3"
"42" "clipr" "3.6.2"
"43" "clisymbols" "3.5.3"
"44" "coda" "3.4.4"
"45" "colorspace" "3.6.1"
"46" "colourpicker" "3.4.4"
"47" "commonmark" "3.5.3"
"48" "covr" "3.4.4"
"49" "crayon" "3.4.4"
"50" "crosstalk" "3.4.4"
"51" "curl" "3.6.2"
"52" "cvTools" "3.4.4"
"53" "data.table" "3.5.1"
"54" "DBI" "3.6.2"
"55" "dbplyr" "3.6.2"
"56" "deldir" "3.4.4"
"57" "DEoptimR" "3.4.1"
"58" "desc" "3.5.3"
"59" "deSolve" "3.5.0"
"60" "devtools" "3.5.3"
"61" "dfoptim" "3.4.4"
"62" "dichromat" "3.4.1"
"63" "digest" "3.6.2"
"64" "doParallel" "3.4.4"
"65" "dplyr" "3.6.2"
"66" "DT" "3.4.4"
